,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
101,263115,0,380,exp3++,20.6602736842,,0.055,,0.5243868421,20.610685761,20.6527655822,21.0109187424,20.2525326008,20.91721180267576,20.349297435275883,0.4739384024,,0.0072093689,,0.0328799663,0.668900784,0.6828141136,0.5144665891,0.601912026
62,293151,0,348,uniform,14.6627413793,,0.044,,0.4993045977,14.6541661271,14.6723559835,15.0376724768,14.2888496339,14.65563747506458,14.658982336740308,0.4747221587,,0.0064856765,,0.0273782023,0.6724116529,0.6652886762,0.5534938988,0.5551473391
102,293151,0,348,ts,14.6264856322,,0.102,,0.6956293103,14.267460293,14.1195897072,14.8736406468,13.5134093534,14.814613540405983,13.571327264325989,0.4778243206,,0.0095705799,,0.1740774325,1.1699028728,1.4164007053,0.4926068694,1.4893019946
18,293151,0,348,exp3,14.6824683908,,0.053,,0.5403850575,14.6541950862,14.6390210791,14.9336991409,14.3595170244,14.777002337555514,14.515300034668856,0.3432096923,,0.0070845607,,0.1043970138,0.5148961102,0.5079863033,0.3903126782,0.4539787171
40,293151,0,348,exp31,14.6327600575,,0.047,,0.5173132184,14.6179421538,14.6171606454,14.8911548262,14.3439479729,14.725179656850367,14.507664521598832,0.3427734682,,0.0066926079,,0.0562876593,0.4954132669,0.4835406813,0.3964186122,0.415187686
103,293151,0,348,exp3++,14.6483850575,,0.043,,0.51925,14.6359931607,14.6120765735,14.9970626562,14.251007078,14.80702893986645,14.437420104668984,0.5053633353,,0.0064149045,,0.0440235511,0.7021544467,0.6910674378,0.5650672663,0.6109669335
63,303899,0,928,uniform,20.3577219828,,0.051,,0.4997855603,20.3489332677,20.366791065,20.5700792732,20.1456450595,20.358802480995656,20.359161075884774,0.2624998559,,0.006956939,,0.0166035509,0.3729325494,0.3728199675,0.3024165095,0.3109741451
104,303899,0,928,ts,20.3626982759,,0.069,,0.6886153017,20.0925093301,20.1247835315,20.5025937996,19.7146990619,20.464197242116228,19.75309561946952,0.2592842443,,0.0080149236,,0.1891257297,0.8513303098,0.7472056308,0.2689592107,0.9491429013
19,303899,0,928,exp3,20.3630420259,,0.059,,0.5399525862,20.3444391331,20.3335171967,20.5015940195,20.1763623103,20.395228314793115,20.28214396328058,0.17835309,,0.0074511073,,0.1725159794,0.2857797029,0.2956013603,0.2088609642,0.2694422248
41,303899,0,928,exp31,20.3640975216,,0.051,,0.5105673491,20.3684353024,20.3508747117,20.5047409548,20.2145690593,20.39063431545497,20.327174621048783,0.1859065248,,0.006956939,,0.0498050017,0.2539844818,0.2685987983,0.2097584944,0.225186874
105,303899,0,928,exp3++,20.3628868534,,0.036,,0.5190959052,20.3528552294,20.3486282846,20.5586792289,20.1428042851,20.471012578348535,20.229822228789345,0.2553220145,,0.0058910101,,0.0333704136,0.3691993767,0.3649376684,0.2892795489,0.3151792715
64,377658,0,306,uniform,21.5061176471,,0.048,,0.4998660131,21.5042856658,21.5079895979,21.7469518276,21.2653234362,21.513707659851715,21.49962642740424,0.3043363818,,0.0067598817,,0.0283024873,0.4327929493,0.4287449361,0.3326678163,0.3801157547
